eyres,BLI,Notes
Anthus_hoeschi,Anthus_hoeschi,
Anthus_latistriatus,NA,HBW and BLI lump this within A. cinnamomeus
Anthus_lineiventris,Anthus_lineiventris,
Anthus_longicaudatus,NA,HBW and BLI don’t recognize this taxon. Jackson's Pipit. Was this the shit the old guy made up?
Anthus_petrosus,Anthus_petrosus,
Anthus_pratensis,Anthus_pratensis,
Anthus_richardi,Anthus_richardi,
Anthus_roseatus,Anthus_roseatus,
Anthus_rubescens,Anthus_rubescens,
Anthus_similis,Anthus_similis,
Anthus_spinoletta,Anthus_spinoletta,
Anthus_spragueii,Anthus_spragueii,
Anthus_trivialis,Anthus_trivialis,
Grus_antigone,Antigone_antigone,
Grus_canadensis,Antigone_canadensis,
Grus_vipio,Antigone_vipio,
Antrostomus_arizonae,Antrostomus_arizonae,
Antrostomus_badius,Antrostomus_badius,
Antrostomus_carolinensis,Antrostomus_carolinensis,
Antrostomus_ridgwayi,Antrostomus_ridgwayi,
Antrostomus_rufus,Antrostomus_rufus,
Antrostomus_vociferus,Antrostomus_vociferus,
Apaloderma_narina,Apaloderma_narina,
Aphrodroma_brevirostris,Aphrodroma_brevirostris,
Aplonis_metallica,Aplonis_metallica,
Aptenodytes_forsteri,Aptenodytes_forsteri,
Aptenodytes_patagonicus,Aptenodytes_patagonicus,
Apus_acuticauda,Apus_acuticauda,
Apus_affinis,Apus_affinis,
Apus_apus,Apus_apus,
Apus_barbatus,Apus_barbatus,
Apus_berliozi,Apus_berliozi,
Apus_caffer,Apus_caffer,
Apus_cooki,NA,HBW and BLI lump this within A. pacificus
Apus_leuconyx,NA,HBW and BLI lump this within A. pacificus
Apus_niansae,Apus_niansae,
Apus_pacificus,Apus_pacificus,
Apus_pallidus,Apus_pallidus,
Apus_unicolor,Apus_unicolor,
Aquila_chrysaetos,Aquila_chrysaetos,
Aquila_heliaca,Aquila_heliaca,
Aquila_nipalensis,Aquila_nipalensis,
Aramus_guarauna,Aramus_guarauna,
Archilochus_alexandri,Archilochus_alexandri,
Archilochus_colubris,Archilochus_colubris,
Ardea_alba,Ardea_alba,
Ardea_cinerea,Ardea_cinerea,
Ardea_goliath,Ardea_goliath,
Ardea_herodias,Ardea_herodias,
Egretta_intermedia,Ardea_intermedia,
Ardea_melanocephala,Ardea_melanocephala,
Ardea_pacifica,Ardea_pacifica,
Ardea_purpurea,Ardea_purpurea,
Puffinus_bulleri,Ardenna_bulleri,
Puffinus_carneipes,Ardenna_carneipes,
Puffinus_creatopus,Ardenna_creatopus,
Puffinus_gravis,Ardenna_gravis,
Puffinus_griseus,Ardenna_grisea,
Puffinus_pacificus,Ardenna_pacifica,
Puffinus_tenuirostris,Ardenna_tenuirostris,
Ardeola_bacchus,Ardeola_bacchus,
Ardeola_idae,Ardeola_idae,
Ardeola_ralloides,Ardeola_ralloides,
Ardeotis_arabs,Ardeotis_arabs,
Ardeotis_australis,Ardeotis_australis,
Ardeotis_nigriceps,Ardeotis_nigriceps,
Arenaria_interpres,Arenaria_interpres,
Arenaria_melanocephala,Arenaria_melanocephala,
Artamus_cyanopterus,Artamus_cyanopterus,
Artamus_leucorynchus,Artamus_leucoryn,
Artamus_minor,Artamus_minor,
Artamus_personatus,Artamus_personatus,
Artamus_superciliosus,Artamus_superciliosus,
Artemisiospiza_belli,Artemisiospiza_belli,
Iduna_aedon,Arundinax_aedon,
Tiaris_fuliginosus,Asemospiza_fuliginosa,
Tiaris_obscurus,Asemospiza_obscura,
Ashbyia_lovensis,Ashbyia_lovensis,
Asio_capensis,Asio_capensis,
Asio_flammeus,Asio_flammeus,
Asio_otus,Asio_otus,
Asthenes_pyrrholeuca,Asthenes_pyrrholeuca,
Athene_cunicularia,Athene_cunicularia,
Attagis_malouinus,Attagis_malouinus,
Attila_phoenicurus,Attila_phoenicurus,
Aviceda_leuphotes,Aviceda_leuphotes,
Aythya_affinis,Aythya_affinis,
Aythya_americana,Aythya_americana,
Aythya_australis,Aythya_australis,
Aythya_baeri,Aythya_baeri,
Aythya_collaris,Aythya_collaris,
Aythya_ferina,Aythya_ferina,
Aythya_fuligula,Aythya_fuligula,
Aythya_marila,Aythya_marila,
Aythya_nyroca,Aythya_nyroca,
Aythya_valisineria,Aythya_valisineria,
Bartramia_longicauda,Bartramia_longicauda,
Basileuterus_lachrymosus,Basileuterus_lachrymosus,
Bolborhynchus_lineola,Bolborhynchus_lineola,
Bombycilla_cedrorum,Bombycilla_cedrorum,
Bombycilla_garrulus,Bombycilla_garrulus,
Bombycilla_japonica,Bombycilla_japonica,
Botaurus_lentiginosus,Botaurus_lentiginosus,
Botaurus_pinnatus,Botaurus_pinnatus,
Botaurus_stellaris,Botaurus_stellaris,
Brachyramphus_brevirostris,Brachyramphus_brevirostris,
Brachyramphus_marmoratus,Brachyramphus_marmoratus,
Brachyramphus_perdix,Brachyramphus_perdix,
Bradypterus_barratti,Bradypterus_barratti,
Branta_bernicla,Branta_bernicla,
Branta_canadensis,Branta_canadensis,
Branta_hutchinsii,Branta_hutchinsii,
Branta_leucopsis,Branta_leucopsis,
Branta_ruficollis,Branta_ruficollis,
Bubo_scandiacus,Bubo_scandiacus,
Bubulcus_ibis,Bubulcus_ibis,
Bucanetes_githagineus,Bucanetes_githagineus,
Eremopsaltria_mongolica,Bucanetes_mongolicus,
Bucephala_albeola,Bucephala_albeola,
Bucephala_clangula,Bucephala_clangula,
Bucephala_islandica,Bucephala_islandica,
Grus_carunculata,Bugeranus_carunculatus,HBW and BLI both use B. carunculatus
Bulweria_bulwerii,Bulweria_bulwerii,
Bulweria_fallax,Bulweria_fallax,
Burhinus_oedicnemus,Burhinus_oedicnemus,
Butastur_indicus,Butastur_indicus,
Butastur_rufipennis,Butastur_rufipennis,
Buteo_albigula,Buteo_albigula,
Buteo_albonotatus,Buteo_albonotatus,
Buteo_auguralis,Buteo_auguralis,
Buteo_brachyurus,Buteo_brachyurus,
Buteo_buteo,Buteo_buteo,
Buteo_hemilasius,Buteo_hemilasius,
Buteo_jamaicensis,Buteo_jamaicensis,
Buteo_japonicus,Buteo_japonicus,
Buteo_lagopus,Buteo_lagopus,
Buteo_lineatus,Buteo_lineatus,
Buteo_nitidus,Buteo_nitidus,
Buteo_platypterus,Buteo_platypterus,
Buteo_regalis,Buteo_regalis,
Buteo_rufinus,Buteo_rufinus,
Buteo_swainsoni,Buteo_swainsoni,
Buteo_trizonatus,Buteo_trizonatus,
Buteogallus_anthracinus,Buteogallus_anthracinus,
Buteogallus_meridionalis,Buteogallus_meridionalis,
Butorides_striata,Butorides_striata,BLI doesn't split B.s.
Butorides_virescens,NA,BLI doesn't split B.s.
Lophochroa_leadbeateri,Cacatua_leadbeateri,
Cacatua_pastinator,Cacatua_pastinator,
Cacomantis_castaneiventris,Cacomantis_castaneiventris,
Cacomantis_flabelliformis,Cacomantis_flabelliformis,
Cacomantis_merulinus,Cacomantis_merulinus,
Cacomantis_passerinus,Cacomantis_passerinus,
Cacomantis_sonneratii,Cacomantis_sonneratii,
Cacomantis_variolosus,Cacomantis_variolosus,
Calamospiza_melanocorys,Calamospiza_melanocorys,
Calandrella_acutirostris,Calandrella_acutirostris,
Calandrella_brachydactyla,Calandrella_brachydactyla,
Calandrella_cheleensis,NA,This is a ssp. Of Alaudala rufescens according to HBW and BLI
Calandrella_cinerea,Calandrella_cinerea,
Calandrella_rufescens,Alaudala_rufescens,HBW and BLI put this in the genus Alauda
Calcarius_lapponicus,Calcarius_lapponicus,
Calcarius_ornatus,Calcarius_ornatus,
Calcarius_pictus,Calcarius_pictus,
Calidris_acuminata,Calidris_acuminata,
Calidris_alba,Calidris_alba,
Calidris_alpina,Calidris_alpina,
Calidris_bairdii,Calidris_bairdii,
Calidris_canutus,Calidris_canutus,
Limicola_falcinellus,Calidris_falcinellus,
Calidris_ferruginea,Calidris_ferruginea,
Calidris_fuscicollis,Calidris_fuscicollis,
Calidris_himantopus,Calidris_himantopus,
Calidris_maritima,Calidris_maritima,
Calidris_mauri,Calidris_mauri,
Calidris_melanotos,Calidris_melanotos,
Calidris_minuta,Calidris_minuta,
Calidris_minutilla,Calidris_minutilla,
Calidris_ptilocnemis,Calidris_ptilocnemis,
Philomachus_pugnax,Calidris_pugnax,
Calidris_pusilla,Calidris_pusilla,
Eurynorhynchus_pygmeus,Calidris_pygmaea,
Calidris_ruficollis,Calidris_ruficollis,
Calidris_subminuta,Calidris_subminuta,
Tryngites_subruficollis,Calidris_subruficollis,
Calidris_temminckii,Calidris_temminckii,
Calidris_tenuirostris,Calidris_tenuirostris,
Aphriza_virgata,Calidris_virgata,
Lichenostomus_chrysops,Caligavis_chrysops,
Luscinia_calliope,Calliope_calliope,
Luscinia_obscura,Calliope_obscura,
Luscinia_pectardens,Calliope_pectardens,
Callonetta_leucophrys,Callonetta_leucophrys,
Caloenas_nicobarica,Caloenas_nicobarica,
Calonectris_diomedea,Calonectris_diomedea,
Calonectris_edwardsii,Calonectris_edwardsii,
Calonectris_leucomelas,Calonectris_leucomelas,
Calothorax_lucifer,Calothorax_lucifer,
Calypte_anna,Calypte_anna,
Calypte_costae,Calypte_costae,
Calyptorhynchus_banksii,Calyptorhynchus_banksii,
Campephaga_flava,Campephaga_flava,
Campephaga_phoenicea,Campephaga_phoenicea,
Camptostoma_imberbe,Camptostoma_imberbe,
Caprimulgus_aegyptius,Caprimulgus_aegyptius,
Caprimulgus_affinis,Caprimulgus_affinis,
Caprimulgus_climacurus,Caprimulgus_climacurus,
Caprimulgus_europaeus,Caprimulgus_europaeus,
Caprimulgus_fossii,Caprimulgus_fossii,
Caprimulgus_indicus,Caprimulgus_indicus,
Caprimulgus_inornatus,Caprimulgus_inornatus,
Caprimulgus_jotaka,Caprimulgus_jotaka,
Macrodipteryx_longipennis,Caprimulgus_longipennis,
Caprimulgus_longirostris,Systellura_longirostris,"genus changed, both HBW and BLI use this"
Caprimulgus_macrurus,Caprimulgus_macrurus,
Caprimulgus_mahrattensis,Caprimulgus_mahrattensis,
Caprimulgus_nubicus,Caprimulgus_nubicus,
Caprimulgus_parvulus,Setopagis_parvula,"genus changed, both HBW and BLI use this"
Caprimulgus_pectoralis,Caprimulgus_pectoralis,
Caprimulgus_ruficollis,Caprimulgus_ruficollis,
Caprimulgus_rufigena,Caprimulgus_rufigena,
Macrodipteryx_vexillarius,Caprimulgus_vexillarius,
Cardellina_canadensis,Cardellina_canadensis,
Cardellina_pusilla,Cardellina_pusilla,
Cardellina_rubrifrons,Cardellina_rubrifrons,
Carduelis_carduelis,Carduelis_carduelis,
Carduelis_citrinella,Carduelis_citrinella,
Carduelis_hornemanni,Acanthis_flammea,"Hoary/Arctic Redpoll is RIP. Lumped into Common Redpoll by that mt/nuclear DNA paper, ABA continues to use it, HBW and BLI use A. flammea"
Carpodacus_erythrinus,Carpodacus_erythrinus,
Carpodacus_grandis,Carpodacus_rhodochlamys,C. r. grandis is just a subspecies of C. r. BLI and HBW use C.r. and don’t split C.r.
Carpodacus_roseus,Carpodacus_roseus,
Carpodacus_rubicilloides,Carpodacus_rubicilloides,
Uragus_sibiricus,Carpodacus_sibiricus,
Haematospiza_sipahi,Carpodacus_sipahi,
Pinicola_subhimachala,Carpodacus_subhimachalus,
Carpodacus_trifasciatus,Carpodacus_trifasciatus,
Carpodacus_eos,Carpodacus_waltoni,HBW and BLI don't split C.w. eos yet
Carpospiza_brachydactyla,Carpospiza_brachydactyla,
Casiornis_rufus,Casiornis_rufus,
Stercorarius_chilensis,Catharacta_chilensis,
Stercorarius_antarcticus,Catharacta_antarctica,"genus changed, both HBW and BLI use this"
Stercorarius_maccormicki,Catharacta_maccormicki,
Stercorarius_skua,Catharacta_skua,
Cathartes_aura,Cathartes_aura,
Catharus_aurantiirostris,Catharus_aurantiirostris,
Catharus_bicknelli,Catharus_bicknelli,
Catharus_fuscescens,Catharus_fuscescens,
Catharus_guttatus,Catharus_guttatus,
Catharus_minimus,Catharus_minimus,
Catharus_ustulatus,Catharus_ustulatus,
Cecropis_abyssinica,Cecropis_abyssinica,
Cecropis_cucullata,Cecropis_cucullata,
Cecropis_daurica,Cecropis_daurica,
Cecropis_semirufa,Cecropis_semirufa,
Cecropis_senegalensis,Cecropis_senegalensis,
Centropus_grillii,Centropus_grillii,
Cephalopyrus_flammiceps,Cephalopyrus_flammiceps,
Cepphus_carbo,Cepphus_carbo,
Cepphus_columba,Cepphus_columba,
Cepphus_grylle,Cepphus_grylle,
Erythropygia_galactotes,Cercotrichas_galactotes,
Cercotrichas_podobe,Cercotrichas_podobe,
Cereopsis_novaehollandiae,Cereopsis_novaehollandiae,
Cerorhinca_monocerata,Cerorhinca_monocerata,
Certhia_americana,Certhia_americana,
Certhia_himalayana,Certhia_himalayana,
Certhionyx_variegatus,Certhionyx_variegatus,
Cettia_castaneocoronata,Cettia_castaneocoronata,
Cettia_cetti,Cettia_cetti,
Ceyx_erithaca,Ceyx_erithaca,
Chaetornis_striata,Chaetornis_striata,
Chaetura_viridipennis,Chaetura_chapmani,
Chaetura_meridionalis,Chaetura_meridionalis,
Chaetura_pelagica,Chaetura_pelagica,
Chaetura_vauxi,Chaetura_vauxi,
Chrysococcyx_basalis,Chalcites_basalis,
Chrysococcyx_lucidus,Chalcites_lucidus,
Chrysococcyx_minutillus,Chalcites_minutillus,
Chrysococcyx_osculans,Chalcites_osculans,
Chalcomitra_senegalensis,Chalcomitra_senegalensis,
Charadrius_alexandrinus,Charadrius_alexandrinus,
Charadrius_alticola,Charadrius_alticola,
Charadrius_asiaticus,Charadrius_asiaticus,
Charadrius_bicinctus,Charadrius_bicinctus,
Charadrius_dubius,Charadrius_dubius,
Charadrius_falklandicus,Charadrius_falklandicus,
Charadrius_hiaticula,Charadrius_hiaticula,
Charadrius_leschenaultii,Charadrius_leschenaultii,
Charadrius_marginatus,Charadrius_marginatus,
Charadrius_melodus,Charadrius_melodus,
Charadrius_modestus,Charadrius_modestus,
Charadrius_mongolus,Charadrius_mongolus,
Charadrius_montanus,Charadrius_montanus,
Charadrius_nivosus,Charadrius_nivosus,
Charadrius_obscurus,Charadrius_obscurus,
Charadrius_pallidus,Charadrius_pallidus,
Charadrius_placidus,Charadrius_placidus,
Charadrius_semipalmatus,Charadrius_semipalmatus,
Charadrius_veredus,Charadrius_veredus,
Charadrius_vociferus,Charadrius_vociferus,
Charadrius_wilsonia,Charadrius_wilsonia,
Charmosyna_meeki,Charmosyna_meeki,
Charmosyna_palmarum,Charmosyna_palmarum,
Chelictinia_riocourii,Chelictinia_riocourii,
Chelidorhynx_hypoxantha,Chelidorhynx_hypoxanthus,careful in the spelling Eyres
Chionis_albus,Chionis_albus,
Chlamydotis_macqueenii,Chlamydotis_macqueenii,
Chlidonias_albostriatus,Chlidonias_albostriatus,
Chlidonias_hybrida,Chlidonias_hybrida,
Chlidonias_leucopterus,Chlidonias_leucopterus,
Chlidonias_niger,Chlidonias_niger,
