"","uniquePairId","Species.1","Species.2","Species.1bl","Species.2bl","cost","lat","lon","tas_breadth","tas_position","pcp_breadth","pcp_position","mtn_mass","water_buffering","dispersal_ability","pair_age","distance","boundary_length","MAT_overlap","realm","landgap"
"Pitta_elliotii",209,"Pitta_elliotii","Pitta_gurneyi","Hydrornis elliotii","Hydrornis gurneyi",41463067.2661103,12.091911765,102.01470588,7.1213505783943,296.947187967368,0.000117949279978865,0.0000588830837073728,0.218826405867971,0.5,19.348502115,2.73,669305.939757661,155738.926344936,0.721895595194718,"IMIM",FALSE
"Chiroxiphia_boliviana",370,"Chiroxiphia_boliviana","Chiroxiphia_caudata","Chiroxiphia boliviana","Chiroxiphia caudata",541875888.475029,-19.978523165,-60.64695946,6.49750340051247,289.851624978032,0.00012209124972462,0.000077317765778958,0.206124852767962,0,16.50277013,1.51,1746253.66810869,411861.167405756,0.357470674219573,"NTNT",FALSE
"Neopelma_sulphureiventer",393,"Neopelma_sulphureiventer","Neopelma_chrysocephalum","Neopelma sulphureiventer","Neopelma chrysocephalum",14747480.6847834,-3.610431235,-69.453146855,2.71387687556141,296.663126875977,0.0000966651512866322,0.0000608227531901649,0.027363184079602,0,18.40885192,3.62,907722.859183719,470259.96405155,1,"NTNT",FALSE
"Rupicola_peruvianus",449,"Rupicola_peruvianus","Rupicola_rupicola","Rupicola peruvianus","Rupicola rupicola",258837221.148217,2.050233885,-72.1858368,2.35055207494419,293.940819998439,0.00013552045347857,0.0000783318332447659,0.19875,0.05875,13.11402941,5.65,655608.753157667,598221.771732601,0.587527807661115,"NTNT",FALSE
"Pachyramphus_castaneus",722,"Pachyramphus_castaneus","Pachyramphus_cinnamomeus","Pachyramphus castaneus","Pachyramphus cinnamomeus",33985753.7210747,2.501485075,-71.41308493,3.49152742532918,296.563402117419,0.000101519509432008,0.0000599653957417372,0.197761194029851,0.0435323383084577,19.483534245,1.77,1461845.44206149,721418.135411997,0.903098149868175,"NTNT",FALSE
"Pachyramphus_rufus",576,"Pachyramphus_rufus","Pachyramphus_spodiurus","Pachyramphus rufus","Pachyramphus spodiurus",181073866.687379,0.772306395,-75.04280904,1.79358225127455,297.082821627534,0.000113029470691412,0.0000721136900364214,0.22,0.1825,21.490299985,0.72,1113960.78227664,684309.927069207,1,"NTNT",FALSE
"Myiophobus_ochraceiventris",81,"Myiophobus_ochraceiventris","Myiophobus_lintoni","Nephelomyias ochraceiventris","Nephelomyias lintoni",234426085.308978,-5.978070175,-78.030701755,2.73428685215894,289.653870801572,0.000129905145609722,0.0000762817471465669,0.220715166461159,0.394574599260173,16.92638394,1.11,397163.396156249,150978.799326012,0.648499102990936,"NTNT",FALSE
"Myiopagis_gaimardii",773,"Myiopagis_gaimardii","Myiopagis_subplacens","Myiopagis gaimardii","Myiopagis subplacens",195403921.524871,-1.511195865,-73.407439305,2.43036969230089,296.938514750593,0.000113798683363946,0.0000671224487817694,0.212951432129514,0.0572851805728518,17.322061645,3.92,1465185.17580494,737877.419574086,1,"NTNT",FALSE
"Empidonax_atriceps",213,"Empidonax_atriceps","Empidonax_fulvifrons","Empidonax atriceps","Empidonax fulvifrons",197410449.896626,13.75735294,-89.23406863,5.34535358025004,294.512057080556,0.0000752163274012452,0.0000386442688676937,0.0609756097560976,0.684146341463415,20.78422938,2.1,1451315.11349695,452797.93465277,0.731188828007472,"NTNT",FALSE
"Mitrephanes_phaeocercus",289,"Mitrephanes_phaeocercus","Mitrephanes_olivaceus","Mitrephanes phaeocercus","Mitrephanes olivaceus",556280812.182265,1.0734127,-80.18543956,4.87207508410001,289.773780174908,0.000119021003912225,0.0000730646982144707,0.194271481942715,0.552926525529265,23.578487735,3.62,2042281.79423742,834104.106009198,0.665200361711488,"NTNT",FALSE
"Corythopis_delalandi",786,"Corythopis_delalandi","Corythopis_torquatus","Corythopis delalandi","Corythopis torquatus",44501196.9064884,-12.922809915,-57.530355735,4.82468929268815,296.537012443951,0.000099253243134375,0.0000534652522029299,0.00613496932515337,0,15.317887215,6.75,920258.736062207,939987.813190992,1,"NTNT",FALSE
"Thamnophilus_nigriceps",102,"Thamnophilus_nigriceps","Thamnophilus_praecox","Thamnophilus nigriceps","Thamnophilus praecox",157720500.430228,3.958333335,-75.510416665,1.73472149333613,295.113101781213,0.000109370485988679,0.0000685857261858667,0.203955500618047,0.288009888751545,7.874931217,2.09,937047.481340325,170474.799926461,1,"NTNT",FALSE
"Thamnophilus_pelzelni",491,"Thamnophilus_pelzelni","Thamnophilus_sticturus","Thamnophilus pelzelni","Thamnophilus sticturus",62532504.378044,-16.04275341,-55.66456728,5.57957741286796,297.588976723498,0.0000941629166378432,0.0000436254558701416,0.00841346153846154,0,11.179447545,1.01,938386.890309159,604301.526434456,1,"NTNT",FALSE
"Thamnophilus_tenuepunctatus",476,"Thamnophilus_tenuepunctatus","Thamnophilus_palliatus","Thamnophilus tenuepunctatus","Thamnophilus palliatus",103138626.69184,-7.27777778,-69.74801587,2.96629114046486,294.295795427681,0.000101506544402262,0.0000580788939054024,0.16270337922403,0,8.836684864,0.6,1815163.74170712,532232.520068284,1,"NTNT",FALSE
"Drymophila_rubricollis",261,"Drymophila_rubricollis","Cercomacra_manu","Drymophila rubricollis","Cercomacra manu",74963932.3203795,-17.40253411,-59.875,5.94144755873751,294.870191841913,0.0000930873644457686,0.0000558481723155701,0.138755980861244,0,9.354986091,2.83,1976884.50819807,476276.605506732,1,"NTNT",FALSE
"Hylophylax_naevius",683,"Hylophylax_naevius","Hylophylax_naevioides","Hylophylax naevius","Hylophylax naevioides",137212231.604679,1.80967269,-72.418191295,2.24961219970739,297.0674849523,0.00012521351765749,0.0000736345885215584,0.195760598503741,0.0673316708229426,13.856264035,4.75,1339731.4745782,611667.998683824,0.963743670245314,"NTNT",FALSE
"Melanopareia_torquata",540,"Melanopareia_torquata","Melanopareia_maximiliani","Melanopareia torquata","Melanopareia maximiliani",43043673.2973167,-19.399880975,-58.069584325,8.30513906934721,295.09332929928,0.0000949726773924516,0.0000476007252621393,0.0869565217391304,0,6.5217361615,7.47,1051478.01135477,596059.403276128,1,"NTNT",FALSE
"Drymornis_bridgesii",387,"Drymornis_bridgesii","Campylorhamphus_pucherani","Drymornis bridgesii","Drymotoxeres pucheranii",136506466.603341,-17.52355688,-67.80608022,7.97935716024227,290.565457565415,0.0000939954677952065,0.0000579064466596789,0.408114558472554,0.186157517899761,15.311200405,4.08,2289998.96110041,723976.768128142,0.787776076380695,"NTNT",FALSE
"Tarphonomus_harterti",344,"Tarphonomus_harterti","Tarphonomus_certhioides","Tarphonomus harterti","Tarphonomus certhioides",49514443.6005384,-21.53030303,-63.418939395,9.57796522386219,287.441299364185,0.000101952114340611,0.0000576908487166253,0.324418604651163,0.0488372093023256,12.60542361,0.66,468223.595777373,326626.284047527,1,"NTNT",FALSE
"Cinclodes_taczanowskii",116,"Cinclodes_taczanowskii","Cinclodes_nigrofumosus","Cinclodes taczanowskii","Cinclodes nigrofumosus",167396355.000401,-19.2375,-71.05,4.36256473483079,291.749775581223,0.0000377375839508194,0.0000159721339090484,0.438534278959811,0.423167848699764,22.626722,0.14,503456.696041263,197377.021392032,0.558163746453958,"NTNT",FALSE
"Cinclodes_oustaleti",310,"Cinclodes_oustaleti","Cinclodes_olrogi","Cinclodes oustaleti","Cinclodes olrogi",146243021.901902,-41.680555555,-68.661858975,12.1208582496503,285.778291962284,0.0000350799412327801,0.0000318773009585577,0.136960600375235,0.445590994371482,24.86605306,0.27,2227040.95848883,290052.612096231,1,"NTNT",FALSE
"Margarornis_bellulus",214,"Margarornis_bellulus","Margarornis_squamiger","Margarornis bellulus","Margarornis squamiger",20199793.3173618,6.036231885,-76.320652175,1.72706754567877,294.579548321676,0.000166823078067683,0.0000871502938379593,0.203980099502488,0.430348258706468,19.78368215,0.64,554874.789761347,379905.476764638,1,"NTNT",FALSE
"Geositta_crassirostris",353,"Geositta_crassirostris","Geositta_poeciloptera","Geositta crassirostris","Geositta poeciloptera",1711509535.51224,-15.837323945,-64.508450705,4.51684500338485,293.043230068692,0.0000904086460010957,0.0000407145581833487,0.315598548972189,0.0314389359129383,17.895976015,6.15,2091967.7030254,464532.313092147,0.403972310583694,"NTNT",FALSE
"Rhinocrypta_lanceolata",326,"Rhinocrypta_lanceolata","Acropternis_orthonyx","Rhinocrypta lanceolata","Acropternis orthonyx",158920513.497396,-12.532142855,-69.85982143,7.81053165929916,291.968159142425,0.0000911844848500641,0.0000529360846704959,0.326829268292683,0.130487804878049,6.171120975,12.78,3326104.30488022,546686.584615983,1,"NTNT",FALSE
"Psilorhamphus_guttatus",461,"Psilorhamphus_guttatus","Liosceles_thoracicus","Psilorhamphus guttatus","Liosceles thoracicus",151768536.684576,-16.421585365,-59.95817073,5.25343215148473,294.524933727339,0.0000816168216865334,0.000054436240464645,0.127557160048135,0,8.378360461,13.34,2704549.28207843,655325.237647077,1,"NTNT",FALSE
"Amytornis_purnelli",221,"Amytornis_purnelli","Amytornis_ballarae","Amytornis purnelli","Amytornis ballarae",62624597.0563892,-20.86567164,135.020988805,12.8698997740763,296.44602758567,0.0000623145614955827,0.000027858385067564,0.00232558139534884,0.0709302325581395,9.3574342545,5.25,672927.507338964,252493.505940259,1,"AAAA",FALSE
"Dasyornis_broadbenti",31,"Dasyornis_broadbenti","Dasyornis_longirostris","Dasyornis broadbenti","Dasyornis longirostris",59251160.2729188,-35.375,129.708333335,8.05070261417445,288.804822752892,0.0000193869361535257,0.0000196216997747848,0,0.687436159346272,5.9265961595,8.9,1868391.84040577,69038.8297801904,0.538468442270712,"AAAA",FALSE
"Acanthorhynchus_superciliosus",323,"Acanthorhynchus_superciliosus","Acanthorhynchus_tenuirostris","Acanthorhynchus superciliosus","Acanthorhynchus tenuirostris",57182264.1615505,-34.928543615,131.428640965,10.069425324031,289.865489359613,0.000032219993958229,0.0000238274743671672,0.00102774922918808,0.634121274409044,18.224825445,10.85,2043948.32753554,448959.720078826,1,"AAAA",FALSE
"Anthochaera_chrysoptera",314,"Anthochaera_chrysoptera","Anthochaera_lunulata","Anthochaera chrysoptera","Anthochaera lunulata",48597340.3866525,-34.728494625,130.396505375,10.5785763931033,289.482990392769,0.0000272487421968715,0.0000229980437466785,0,0.632780082987552,20.250590995,4.3,1848888.6537405,316301.094567011,1,"AAAA",FALSE
"Acanthiza_reguloides",421,"Acanthiza_reguloides","Acanthiza_inornata","Acanthiza reguloides","Acanthiza inornata",65042164.2287308,-33.36309042,130.42759784,11.0947335828667,291.077409080952,0.0000370876003900497,0.0000229123709499064,0.00314465408805031,0.527253668763103,13.40329276,3.72,2442886.30803618,385936.776431915,1,"AAAA",FALSE
"Acanthiza_pusilla",340,"Acanthiza_pusilla","Acanthiza_katherina","Acanthiza pusilla","Acanthiza katherina",45157816.3535555,-21.5975094,146.946898495,9.65970136814035,292.437261410566,0.0000666200265231899,0.0000330464125417529,0,0.350815850815851,16.09518443,2.29,1138174.65775126,332418.238076667,0.619058595723135,"AAAA",FALSE
"Acanthiza_murina",447,"Acanthiza_murina","Acanthiza_nana","Acanthiza murina","Acanthiza nana",1002226221.28968,-19.088425925,144.19236111,7.25831346290561,292.892035899311,0.0000713409117472983,0.0000770398739220704,0,0.384160756501182,20.16566099,4.74,2744276.09220193,603723.07589775,0.858624548631594,"AAAA",TRUE
"Orthonyx_novaeguineae",134,"Orthonyx_novaeguineae","Orthonyx_temminckii","Orthonyx novaeguineae","Orthonyx temminckii",1807963246.50611,-17.654682275,146.74916388,6.53728629104584,292.303517712434,0.0000656921968735849,0.0000754939632945663,0.00357142857142857,0.566666666666667,10.236958715,14.37,2999571.13676617,664500.161576494,0.0737490149146638,"AAAA",TRUE
"Mohoua_ochrocephala",67,"Mohoua_ochrocephala","Mohoua_albicilla","Mohoua ochrocephala","Mohoua albicilla",100768516.874703,-42.511904765,172.330357145,8.09826413185657,285.089057492605,0.0000165115908330662,0.0000492769456441043,0.0354251012145749,0.881578947368421,19.601013805,5.12,653661.780253985,234062.959499054,0.105737181006049,"AAAA",TRUE
"Coracina_incerta",254,"Coracina_incerta","Coracina_morio","Edolisoma incertum","Edolisoma morio",155174835.979178,-1.7375,129.4375,1.13228823207939,297.849501457685,0.0000754571279282029,0.000100075817806679,0.0426065162907268,0.87719298245614,26.83212176,0.63,1419737.22883207,536253.140022122,1,"AAAA",TRUE
"Lalage_leucopyga",200,"Lalage_leucopyga","Lalage_sueurii","Lalage leucopyga","Lalage sueurii",365655883.982166,-12.187543985,144.73530964,3.13227827576863,298.854759540859,0.0000845948982468744,0.0000639615481721889,0.0636474908200734,0.657282741738066,25.624588445,2.69,5009295.04406404,495918.984436607,1,"AAAA",TRUE
"Lalage_leucopygialis",454,"Lalage_leucopygialis","Lalage_nigra","Lalage leucopygialis","Lalage nigra",65992204.9346381,-0.076336725,117.436367655,1.12809126318096,298.927754985663,0.0000693630677774,0.000082444958294245,0.103491271820449,0.628428927680798,26.21245312,5.01,874982.416364367,500611.232755053,1,"AAIM",TRUE
"Pericrocotus_roseus",392,"Pericrocotus_roseus","Pericrocotus_tegimae","Pericrocotus roseus","Pericrocotus tegimae",637217036.489681,26.680555555,115.243055555,17.6243478204909,289.491991135694,0.000095392140980526,0.0000520860524015409,0.344170403587444,0.302690582959641,31.504132845,1.6,2793583.81447202,843488.902830669,1,"IMIM",TRUE
"Platysteira_jamesoni",302,"Platysteira_jamesoni","Platysteira_chalybea","Dyaphorophyia jamesoni","Dyaphorophyia chalybea",39029935.7041342,2.027505205,19.568465655,2.11402090013191,294.951774215008,0.000104330444241819,0.0000718143855742409,0.00124378109452736,0,9.438787034,2.38,1230675.38817948,254022.644127984,0.62776718806046,"ATAT",FALSE
"Platysteira_laticincta",570,"Platysteira_laticincta","Platysteira_peltata","Platysteira laticincta","Platysteira peltata",1044410118.88155,-3.15046917,20.321380695,4.62617807704137,294.414495576422,0.000119130760160332,0.0000588575568751104,0.0025,0,13.05366756,4.72,2980730.22988906,635420.586381991,1,"ATAT",FALSE
"Laniarius_ruficeps",431,"Laniarius_ruficeps","Laniarius_luehderi","Laniarius ruficeps","Laniarius luehderi",134355369.923722,2.471856725,34.0035636,3.32165365041742,296.151425683071,0.0000796896608973415,0.0000459232131848144,0.188351920693928,0,6.5107009985,7.62,1755160.74153987,755824.005667498,1,"ATAT",FALSE
"Cyanocorax_sanblasianus",95,"Cyanocorax_sanblasianus","Cyanocorax_beecheii","Cyanocorax sanblasianus","Cyanocorax beecheii",29574414.8738791,21.603896105,-105.38474026,6.06780411403866,296.117501436292,0.0000880806329460547,0.0000421643655109532,0.322880371660859,0.492450638792102,12.683615985,1.98,292194.561415771,127559.485030303,0.856947805061577,"NTNT",FALSE
"Cyanocorax_caeruleus",338,"Cyanocorax_caeruleus","Cyanocorax_morio","Cyanocorax coeruleus","Cyanocorax morio",362326515.26248,-6.47335805,-70.981302965,8.12247138845876,294.03161149204,0.0000512231634254508,0.000040918633527167,0.189655172413793,0,12.962965415,3.59,6214707.6957368,557527.238464462,1,"NTNT",FALSE
"Cyanolyca_cucullata",104,"Cyanolyca_cucullata","Cyanolyca_pulchra","Cyanolyca cucullata","Cyanolyca pulchra",482647687.997541,8.958333335,-83.333333335,3.27223460811238,294.756428686602,0.00011621449741248,0.0000822090653942888,0.0728395061728395,0.802469135802469,12.440897301,7.23,1850645.39548335,516282.093825402,1,"NTNT",FALSE
"Cyanolyca_turcosa",149,"Cyanolyca_turcosa","Cyanolyca_viridicyanus","Cyanolyca turcosa","Cyanolyca viridicyanus",96069606.492343,-6.041666665,-77.9,2.66164184365675,289.495789022899,0.000127190473960058,0.0000783876987370872,0.22360248447205,0.386335403726708,10.168686283,4.8,467929.186238774,217037.630458466,0.746683849298695,"NTNT",FALSE
"Cyanolyca_pumilo",64,"Cyanolyca_pumilo","Cyanolyca_argentigula","Cyanolyca pumilo","Cyanolyca argentigula",192740045.216257,12.21875,-86.359375,3.14383648478034,297.277597415271,0.0000742580532791495,0.0000361569994894823,0.0552825552825553,0.73955773955774,9.6692345435,2.63,787774.103640486,170525.900339882,1,"NTNT",FALSE
"Cyanolyca_nana",28,"Cyanolyca_nana","Cyanolyca_mirabilis","Cyanolyca nanus","Cyanolyca mirabilis",27039657.2290718,17.166666665,-96.875,6.29975822607675,291.952499331504,0.0000572487510371904,0.00004139429433503,0.174432497013142,0.606929510155317,11.871352895,5.33,95984.6119870335,82281.9566254368,0.0742132832966559,"NTNT",FALSE
"Perisoreus_internigrans",972,"Perisoreus_internigrans","Perisoreus_infaustus","Perisoreus internigrans","Perisoreus infaustus",1856939636.91838,43.7436,111.3862,33.094237645035,269.241627822043,0.0000451792790250319,0.0000281906437841475,0.136612021857924,0.0109289617486339,18.635594515,3.19,2693462.27034582,786132.849029356,1,"PAPA",FALSE
"Ptiloris_paradiseus",94,"Ptiloris_paradiseus","Ptiloris_victoriae","Lophorina paradisea","Lophorina victoriae",35634425.7709984,-22.07738095,148.92261905,9.56104039593812,292.813825648116,0.0000710042069929527,0.0000369995800918161,0.00232018561484919,0.448955916473318,8.778845255,1.36,1005984.41092261,195950.61833345,0.124876236368905,"AAAA",FALSE
"Astrapia_nigra",43,"Astrapia_nigra","Astrapia_splendidissima","Astrapia nigra","Astrapia splendidissima",115158557.08483,-2.625,135.408333335,1.03119294758885,296.361326007432,0.0000645284395441445,0.000117053014429026,0.07375,0.77875,11.748561545,1.96,537256.53630363,163898.951961802,0.701378622231919,"AAAA",TRUE
"Dicrurus_megarhynchus",474,"Dicrurus_megarhynchus","Dicrurus_bracteatus","Dicrurus megarhynchus","Dicrurus bracteatus",7622191.08165134,-4.63427673,146.89748428,3.53388790096088,298.053475733685,0.0000618875470861223,0.0000790838928826345,0.0906832298136646,0.762732919254658,22.549172465,4.83,1234990.10881868,606620.472047214,1,"AAAA",TRUE
"Dicrurus_macrocercus",987,"Dicrurus_macrocercus","Dicrurus_adsimilis","Dicrurus macrocercus","Dicrurus adsimilis",582777261.72456,14.83274097,51.017608675,12.4137332281239,293.450073806467,0.0000913280041677146,0.0000402112617603749,0.0682095006090134,0.457978075517661,25.46354327,1.82,6899136.33372291,2035011.36545978,0.881194655471861,"ATIM",FALSE
"Picathartes_gymnocephalus",233,"Picathartes_gymnocephalus","Picathartes_oreas","Picathartes gymnocephalus","Picathartes oreas",37659472.8920383,3.96875,3.098511905,2.53983761256699,296.958483278528,0.000118173400148958,0.0000666128059213049,0.024906600249066,0.574097135740971,4.879253466,4.68,1558249.12608593,315739.289579096,0.984694189512644,"ATAT",FALSE
"Eopsaltria_australis",413,"Eopsaltria_australis","Eopsaltria_griseogularis","Eopsaltria australis","Eopsaltria griseogularis",53991094.1936279,-32.99759763,139.06026375,11.9000580665822,290.787805612528,0.0000319049973015588,0.0000234593387995159,0.0187891440501044,0.31419624217119,24.06759049,5.02,1204230.60394025,569168.655935763,1,"AAAA",FALSE
"Melanodryas_cucullata",735,"Melanodryas_cucullata","Melanodryas_vittata","Melanodryas cucullata","Melanodryas vittata",66081682.1791613,-35.52092634,143.903013395,9.80176398791592,289.776670913364,0.0000356286980719078,0.000029030916420871,0.0633299284984678,0.415730337078652,24.43883489,2.31,1119806.23351467,497753.165542165,0.913819786310604,"AAAA",TRUE
"Parus_carolinensis",497,"Parus_carolinensis","Parus_sclateri","Poecile carolinensis","Poecile sclateri",69088011.4086869,29.612951495,-98.119375645,17.0536690128001,289.524725554395,0.0000498693954036772,0.0000370038377056478,0.141766630316249,0.215921483097056,18.449300005,6.06,1701492.47204842,673721.691123726,0.873724652237328,"NANA",FALSE
"Parus_albiventris",475,"Parus_albiventris","Parus_niger","Melaniparus albiventris","Melaniparus niger",49687136.9163149,-10.84971248,33.292915725,6.69744818488029,293.486181442595,0.0000859639486972884,0.0000376863330954525,0.045343137254902,0.0428921568627451,16.093450175,5.56,1085406.24674675,572817.673274986,1,"ATAT",FALSE
"Parus_dichrous",868,"Parus_dichrous","Parus_cristatus","Lophophanes dichrous","Lophophanes cristatus",3323753755.29499,42.42625326,66.420856275,22.6266002179648,278.550398444722,0.0000731830950893163,0.000042554792446043,0.210526315789474,0,19.47355224,7.18,5544937.28374974,1064344.9857782,1,"PAPA",FALSE
"Culicicapa_helianthea",702,"Culicicapa_helianthea","Culicicapa_ceylonensis","Culicicapa helianthea","Culicicapa ceylonensis",42478988.8123728,1.648929545,115.9487295,6.59656648333062,295.612284015123,0.0000896596336601447,0.00007149016999896,0.097622027534418,0.633291614518148,16.794785445,4.81,1225686.63442165,1085413.62910598,1,"IMIM",TRUE
"Thamnornis_chloropetoides",79,"Thamnornis_chloropetoides","Crossleyia_xanthophrys","Thamnornis chloropetoides","Crossleyia xanthophrys",22492485.4925052,-23.65909091,45.977272725,6.38064934912467,295.745067866594,0.0000787943746097686,0.000034808794410691,0.0438292964244521,0.806228373702422,10.0090868625,12.67,240343.506139498,146410.994625237,0.816545959904347,"ATAT",FALSE
"Hypocryptadius_cinnamomeus",124,"Hypocryptadius_cinnamomeus","Kakamega_poliothorax","Hypocryptadius cinnamomeus","Kakamega poliothorax",1889236509.68192,6.142857145,67.70238095,1.65257948346595,296.366549523671,0.0000831617128351386,0.0000792247881531305,0,1,16.15419438,15.53,12608204.1449893,285066.52197388,0.884043245809634,"ATIM",TRUE
"Yuhina_castaniceps",264,"Yuhina_castaniceps","Yuhina_everetti","Yuhina castaniceps","Yuhina everetti",752446345.587189,10.64309057,104.06442577,6.57215510552225,294.354854285558,0.000102158014664328,0.0000760767352466588,0.154791154791155,0.577395577395577,18.14708576,1.06,3120589.69112214,520306.050503654,0.861160889776724,"IMIM",TRUE
"Yuhina_nigrimenta",446,"Yuhina_nigrimenta","Yuhina_brunneiceps","Yuhina nigrimenta","Yuhina brunneiceps",152095850.022348,24.86525974,117.222402595,15.4705122832785,291.172933826665,0.0000899731188524547,0.0000495619896074222,0.23155505107832,0.492622020431328,17.818034065,5.17,787081.350165688,329811.118588548,1,"IMIM",TRUE
"Illadopsis_cleaveri",440,"Illadopsis_cleaveri","Illadopsis_albipectus","Illadopsis cleaveri","Illadopsis albipectus",33208642.1990187,0.180542455,16.988207545,2.15340630785727,296.173713762102,0.000106831758940616,0.000069794950005117,0.0037593984962406,0.025062656641604,7.5784490455,2.58,730146.111797743,390371.601085605,0.868323638956989,"ATAT",FALSE
"Sylvia_lugens",196,"Sylvia_lugens","Sylvia_buryi","Sylvia lugens","Sylvia buryi",500040723.139315,8.78148148,40.27962963,7.74932071672619,294.922022616707,0.0000824146397571656,0.0000274681394698875,0.291925465838509,0.0906832298136646,12.49689582,2.32,1647584.83137867,651976.761641811,0.62022482922856,"ATAT",FALSE
"Sylvia_subcaerulea",568,"Sylvia_subcaerulea","Sylvia_boehmi","Sylvia subcoerulea","Sylvia boehmi",111624516.062532,-12.773759465,28.238730025,7.55170164361612,293.576752254134,0.0000634481042928252,0.0000279769108310576,0.025703794369645,0,15.66952316,6.19,2336471.42083003,565747.196700553,0.944126125971989,"ATAT",FALSE
"Alcippe_manipurensis",352,"Alcippe_manipurensis","Alcippe_cinereiceps","Fulvetta manipurensis","Fulvetta cinereiceps",47064983.4247181,26.794422045,105.156048385,19.5981791035471,285.431260855194,0.0000952526397010331,0.0000493745513100817,0.785151856017998,0.0348706411698538,9.152231153,0.41,917280.982825648,412693.648326308,0.876071672216793,"IMIM",FALSE
"Alcippe_brunneicauda",319,"Alcippe_brunneicauda","Alcippe_grotei","Alcippe brunneicauda","Alcippe grotei",76384632.3524009,7.617857145,105.844217685,4.42133031842755,297.122242491171,0.0000887291155256471,0.0000711479260225358,0.102595797280593,0.704573547589617,12.86159276,5.19,1298229.46905607,625301.263434969,0.68852198041273,"IMIM",FALSE
"Bathmocercus_cerviniventris",253,"Bathmocercus_cerviniventris","Bathmocercus_rufus","Bathmocercus cerviniventris","Bathmocercus rufus",54535169.0924302,3.59008097,2.045040485,2.75646409862689,295.890383365202,0.000147966822545791,0.0000744766390726882,0.00870646766169154,0.630597014925373,8.923720393,2.91,2543970.54050642,364063.307151667,1,"ATAT",FALSE
"Eminia_lepida",496,"Eminia_lepida","Hypergerus_atriceps","Eminia lepida","Hypergerus atriceps",356944632.593603,4.965780545,23.614536195,3.74903750507209,295.700637048459,0.000101252738017371,0.000048075585469308,0.0111940298507463,0,8.032495054,7.42,1779393.57122385,570577.53372713,0.670892640390737,"ATAT",FALSE
"Andropadus_masukuensis",151,"Andropadus_masukuensis","Andropadus_tephrolaemus","Arizelocichla masukuensis","Arizelocichla tephrolaema",617930748.358069,0.492741935,22.13064516,3.4239198330493,294.306621691459,0.00011174506832543,0.0000618805656921582,0.0236612702366127,0,16.09116037,6.55,2869973.87296556,461900.032428881,0.396075923720459,"ATAT",FALSE
"Phyllastrephus_cerviniventris",321,"Phyllastrephus_cerviniventris","Phyllastrephus_poensis","Phyllastrephus cerviniventris","Phyllastrephus poensis",509142601.788412,-2.859762395,22.892561985,5.32682532006779,294.25367352499,0.000112498792997683,0.0000556565380965665,0.052434456928839,0,11.166491425,4.5,3471321.97570642,506551.630981771,0.796067486656688,"ATAT",FALSE
"Bernieria_apperti",100,"Bernieria_apperti","Bernieria_cinereiceps","Xanthomixis apperti","Xanthomixis cinereiceps",11267555.3427564,-22.854166665,45.770833335,6.63938708314675,295.925090590411,0.000084442244003998,0.0000345237120398809,0.046242774566474,0.794219653179191,12.67687263,4.51,176840.558983923,121207.899272362,1,"ATAT",FALSE
"Phylloscopus_cantator",442,"Phylloscopus_cantator","Phylloscopus_ricketti","Phylloscopus cantator","Phylloscopus ricketti",64457641.8109926,24.08035714,105.6375,18.5410039962267,286.881208852189,0.000123328773112749,0.0000556930690279883,0.660958904109589,0.113013698630137,18.511547955,1.57,845181.652625582,498002.931940445,0.990238381003094,"IMIM",FALSE
"Tachycineta_albiventer",876,"Tachycineta_albiventer","Tachycineta_albilinea","Tachycineta albiventer","Tachycineta albilinea",164955850.739341,5.78326195,-74.712701195,4.53312899054108,297.147160410087,0.0000856826081249342,0.0000459855547654564,0.20875,0.325,51.05054594,2.49,2401557.11688577,929769.963359687,1,"NTNT",FALSE
"Certhilauda_semitorquata",205,"Certhilauda_semitorquata","Certhilauda_curvirostris","Certhilauda semitorquata","Certhilauda curvirostris",89541973.7465037,-32.61051213,22.909703505,8.38052701972722,289.643093485587,0.0000361570905772635,0.0000245977092806928,0.0674394099051633,0.538461538461538,22.001875185,1.36,663516.361999981,290370.247513374,0.923132516677078,"ATAT",FALSE
"Certhilauda_burra",88,"Certhilauda_burra","Certhilauda_barlowi","Calendulauda burra","Calendulauda erythrochlamys",23649717.0595913,-28.973484845,18.075757575,9.24372106813903,292.7447915638,0.0000147755531330777,0.00000839092362488158,0.0230263157894737,0.447368421052632,19.359182695,0.92,323661.013107445,156866.739937927,0.380307738947639,"ATAT",FALSE
"Onychognathus_albirostris",263,"Onychognathus_albirostris","Onychognathus_tristramii","Onychognathus albirostris","Onychognathus tristramii",620532999.382014,17.65625,41.39393939,11.0772600929641,294.5457186024,0.0000495702085103869,0.0000171996841624895,0.192124105011933,0.193317422434368,27.065223745,5.7,1177756.93401945,820377.9929607,0.893090359709722,"ATAT",FALSE
"Lamprotornis_superbus",689,"Lamprotornis_superbus","Lamprotornis_pulcher","Lamprotornis superbus","Lamprotornis pulcher",129438135.482217,9.9293414,32.63486559,7.96038047289284,297.550392390401,0.0000533659694942211,0.0000207274874062075,0.239802224969098,0,27.793736275,4.92,1813423.71083427,935249.386322932,0.832540224426315,"ATAT",FALSE
