"","myrow","island","cosmopolitan","new.old","realm1red","realm2green","mydata$uniquePairId"
"158",158,0,0,0,"AT","AT",397
"159",159,0,0,0,"NT","NT",405
"160",160,0,0,0,"NT","NT",410
"161",161,0,0,0,"AA","AA",413
"162",162,0,0,0,"AA","AA",421
"163",163,0,0,0,"NT","NT",430
"164",164,0,0,0,"AT","AT",431
"165",165,0,0,0,"AT","AT",432
"166",166,0,0,0,"AT","AT",433
"167",167,1,0,0,"IM","IM",436
"168",168,0,0,0,"AT","AT",440
"169",169,0,0,0,"IM","IM",442
"170",170,0,0,0,"PA","AT",444
"171",171,1,0,0,"IM","IM",446
"172",172,1,0,0,"AA","AA",447
"173",173,0,0,0,"NT","NT",449
"174",174,1,0,0,"AA","IM",454
"175",175,0,0,0,"NT","NT",455
"176",176,0,0,0,"AT","AT",458
"177",177,0,0,0,"NT","NT",461
"178",178,0,0,0,"NT","NT",469
"179",179,1,0,0,"AA","AA",474
"180",180,0,0,0,"AT","AT",475
"181",181,0,0,0,"NT","NT",476
"182",182,0,0,0,"NT","NT",477
"183",183,0,0,0,"NT","NT",480
"184",184,0,0,0,"NT","NT",487
"185",185,0,0,0,"NT","NT",489
"186",186,0,0,0,"NT","NT",491
"187",187,0,0,0,"AT","AT",492
"188",188,0,0,0,"AT","AT",496
"189",189,0,0,0,"NA","NA",497
"190",190,0,0,0,"NT","NT",501
"191",191,0,0,0,"AT","AT",504
"192",192,0,0,0,"NT","NT",506
"193",193,1,0,0,"IM","IM",510
"194",194,0,0,0,"NT","NT",511
"195",195,1,0,0,"IM","AA",514
"196",196,0,0,0,"NT","NT",526
"197",197,0,0,0,"NT","NT",533
"198",198,1,0,0,"AA","AA",535
"199",199,0,0,0,"AT","AT",537
"200",200,0,0,0,"NT","NT",540
"201",201,0,0,0,"NT","NT",541
"202",202,0,0,0,"NT","NT",547
"203",203,1,0,0,"NT","NT",555
"204",204,0,0,0,"AT","AT",561
"205",205,0,0,0,"AT","AT",568
"206",206,0,0,0,"AT","AT",570
"207",207,0,0,0,"AT","AT",575
"208",208,0,0,0,"NT","NT",576
"209",209,0,0,0,"NT","NT",584
"210",210,1,0,0,"AA","AA",588
"211",211,0,0,0,"NT","NT",589
