myrow,island,cosmopolitan,new-old,realm1red,realm2green
227,0,0,0,NT,NT
228,0,0,0,NT,NT
229,1,0,0,IM,AA
230,0,0,0,NT,NT
231,0,0,0,NT,NT
232,0,0,0,NT,NT
233,0,0,0,AT,AT
234,0,0,0,PA,AT
235,0,0,0,NT,NT
236,0,0,0,NT,NT
237,1,0,1,IM,NT
238,0,0,0,NT,NT
239,0,0,0,NT,NT
240,0,0,0,NT,NT
241,0,1,0,AT,IM
242,0,0,0,NT,NT
243,0,0,0,PA,PA
244,0,0,0,PA,AT
245,0,0,0,NT,NT
246,0,0,0,AT,IM
247,1,0,1,NT,AA
248,0,0,0,AT,IM
249,0,0,0,PA,PA
250,0,0,0,IM,AT
251,0,0,0,PA,PA
252,1,0,1,PA,NA
253,1,0,1,PA,NA
